author,text,is_fake,rating,position
Іван Петренко,"Експерти заявили, що енергетична безпека розвивається стабільно. Експерти радять перевіряти джерела інформації перед поширенням новин.",0,0.588,журналіст
Юрій Бойко,"Користувачі мережі стверджують, що уряд приховує дані про сучасна медицина. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.49,блогер
Наталія Гнатюк,Міністерство оприлюднило звіт про стан нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.975,аналітик новин
Наталія Гнатюк,Офіційні джерела підтвердили позитивні зміни у сфері розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.583,аналітик новин
Юрій Бойко,"Користувачі мережі стверджують, що уряд приховує дані про енергетична безпека. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.536,блогер
Юрій Бойко,"Анонімні джерела повідомляють, що сучасна медицина знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.419,інтернет-коментатор
Наталія Гнатюк,"Відео у TikTok показує, що розвиток штучного інтелекту призведе до катастрофи. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.663,активіст
Андрій Сидоренко,"Анонімні джерела повідомляють, що економіка України знаходиться під загрозою. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.412,користувач соцмереж
Іван Петренко,"Користувачі мережі стверджують, що уряд приховує дані про економіка України. Експерти радять перевіряти джерела інформації перед поширенням новин.",1,0.341,активіст
Марія Іванчук,Офіційні джерела підтвердили позитивні зміни у сфері нові освітні програми. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.42,аналітик новин
Наталія Гнатюк,Журналісти повідомили про нові досягнення у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.49,журналіст
Anonymous,У соцмережах поширюється чутка про розвиток штучного інтелекту. Експерти радять перевіряти джерела інформації перед поширенням новин.,1,0.654,користувач соцмереж
Андрій Сидоренко,Офіційні джерела підтвердили позитивні зміни у сфері політична реформа. Експерти радять перевіряти джерела інформації перед поширенням новин.,0,0.936,аналітик новин
